profile,start,peak,end
331,2015-11-25 07:20:00,2015-11-25 08:19:00,2015-11-25 08:49:00
340,2015-11-26 07:20:00,2015-11-26 08:19:00,2015-11-26 08:50:00
349,2015-11-27 07:20:00,2015-11-27 08:19:00,2015-11-27 08:50:00
358,2015-11-28 07:20:00,2015-11-28 08:19:00,2015-11-28 08:50:00
367,2015-11-29 07:20:00,2015-11-29 08:19:00,2015-11-29 08:50:00
375,2015-11-30 07:20:00,2015-11-30 08:20:00,2015-11-30 08:50:00
384,2015-12-01 07:20:00,2015-12-01 08:19:00,2015-12-01 08:50:00
393,2015-12-02 07:20:00,2015-12-02 08:19:00,2015-12-02 08:49:00
402,2015-12-03 07:20:00,2015-12-03 08:19:00,2015-12-03 08:50:00
411,2015-12-04 07:20:00,2015-12-04 08:19:00,2015-12-04 08:49:00
420,2015-12-05 07:20:00,2015-12-05 08:19:00,2015-12-05 08:50:00
429,2015-12-06 07:20:00,2015-12-06 08:19:00,2015-12-06 08:50:00
438,2015-12-07 07:20:00,2015-12-07 08:19:00,2015-12-07 08:50:00
447,2015-12-08 07:20:00,2015-12-08 08:19:00,2015-12-08 08:50:00
456,2015-12-09 07:20:00,2015-12-09 08:19:00,2015-12-09 08:50:00
465,2015-12-10 07:20:00,2015-12-10 08:19:00,2015-12-10 08:50:00
474,2015-12-11 07:20:00,2015-12-11 08:19:00,2015-12-11 08:50:00
483,2015-12-12 07:20:00,2015-12-12 08:19:00,2015-12-12 08:50:00
492,2015-12-13 07:20:00,2015-12-13 08:19:00,2015-12-13 08:50:00
501,2015-12-14 07:20:00,2015-12-14 08:19:00,2015-12-14 08:50:00
510,2015-12-15 07:20:00,2015-12-15 08:19:00,2015-12-15 08:50:00
519,2015-12-16 07:20:00,2015-12-16 08:19:00,2015-12-16 08:50:00
528,2015-12-17 07:20:00,2015-12-17 08:19:00,2015-12-17 08:50:00
536,2015-12-18 07:20:00,2015-12-18 08:22:00,2015-12-18 08:54:00
545,2015-12-19 07:20:00,2015-12-19 08:22:00,2015-12-19 08:54:00
554,2015-12-20 07:20:00,2015-12-20 08:22:00,2015-12-20 08:54:00
563,2015-12-21 07:20:00,2015-12-21 08:23:00,2015-12-21 08:55:00
572,2015-12-22 07:20:00,2015-12-22 08:19:00,2015-12-22 08:49:00
581,2015-12-23 07:20:00,2015-12-23 08:22:00,2015-12-23 08:54:00
590,2015-12-24 07:20:00,2015-12-24 08:20:00,2015-12-24 08:50:00
599,2015-12-25 07:20:00,2015-12-25 08:23:00,2015-12-25 08:54:00
608,2015-12-26 07:20:00,2015-12-26 08:23:00,2015-12-26 08:54:00
617,2015-12-27 07:20:00,2015-12-27 08:22:00,2015-12-27 08:54:00
626,2015-12-28 07:20:00,2015-12-28 08:22:00,2015-12-28 08:54:00
635,2015-12-29 07:20:00,2015-12-29 08:22:00,2015-12-29 08:54:00
644,2015-12-30 07:20:00,2015-12-30 08:22:00,2015-12-30 08:54:00
653,2015-12-31 07:20:00,2015-12-31 08:22:00,2015-12-31 08:54:00
662,2016-01-01 07:20:00,2016-01-01 08:22:00,2016-01-01 08:54:00
671,2016-01-02 07:20:00,2016-01-02 08:23:00,2016-01-02 08:54:00
680,2016-01-03 07:20:00,2016-01-03 08:22:00,2016-01-03 08:54:00
689,2016-01-04 07:20:00,2016-01-04 08:22:00,2016-01-04 08:54:00
698,2016-01-05 07:20:00,2016-01-05 08:22:00,2016-01-05 08:54:00
707,2016-01-06 07:20:00,2016-01-06 08:10:00,2016-01-06 08:36:00
716,2016-01-07 07:20:00,2016-01-07 08:22:00,2016-01-07 08:54:00
725,2016-01-08 07:20:00,2016-01-08 08:21:00,2016-01-08 08:52:00
734,2016-01-09 07:20:00,2016-01-09 08:22:00,2016-01-09 08:54:00
743,2016-01-10 07:20:00,2016-01-10 08:19:00,2016-01-10 08:49:00
752,2016-01-11 07:20:00,2016-01-11 08:22:00,2016-01-11 08:54:00
761,2016-01-12 07:20:00,2016-01-12 08:19:00,2016-01-12 08:49:00
770,2016-01-13 07:20:00,2016-01-13 08:22:00,2016-01-13 08:54:00
779,2016-01-14 07:20:00,2016-01-14 08:22:00,2016-01-14 08:54:00
788,2016-01-15 07:20:00,2016-01-15 08:22:00,2016-01-15 08:54:00
797,2016-01-16 07:20:00,2016-01-16 08:18:00,2016-01-16 08:47:00
806,2016-01-17 07:20:00,2016-01-17 08:18:00,2016-01-17 08:48:00
815,2016-01-18 07:20:00,2016-01-18 08:22:00,2016-01-18 08:54:00
824,2016-01-19 07:20:00,2016-01-19 08:22:00,2016-01-19 08:54:00
833,2016-01-20 07:20:00,2016-01-20 08:22:00,2016-01-20 08:54:00
842,2016-01-21 07:20:00,2016-01-21 08:22:00,2016-01-21 08:54:00
851,2016-01-22 07:20:00,2016-01-22 08:13:00,2016-01-22 08:40:00
860,2016-01-23 07:20:00,2016-01-23 08:22:00,2016-01-23 08:53:00
869,2016-01-24 07:20:00,2016-01-24 08:22:00,2016-01-24 08:54:00
878,2016-01-25 07:20:00,2016-01-25 08:22:00,2016-01-25 08:54:00
887,2016-01-26 07:20:00,2016-01-26 08:22:00,2016-01-26 08:54:00
896,2016-01-27 07:20:00,2016-01-27 08:19:00,2016-01-27 08:49:00
904,2016-01-28 07:20:00,2016-01-28 08:13:00,2016-01-28 08:40:00
913,2016-01-29 07:20:00,2016-01-29 08:17:00,2016-01-29 08:46:00
922,2016-01-30 07:20:00,2016-01-30 08:17:00,2016-01-30 08:46:00
932,2016-02-01 07:20:00,2016-02-01 08:22:00,2016-02-01 08:54:00
941,2016-02-02 07:20:00,2016-02-02 08:22:00,2016-02-02 08:54:00
950,2016-02-03 07:20:00,2016-02-03 08:22:00,2016-02-03 08:54:00
958,2016-02-04 07:20:00,2016-02-04 08:22:00,2016-02-04 08:54:00
967,2016-02-05 07:20:00,2016-02-05 08:19:00,2016-02-05 08:49:00
976,2016-02-06 07:20:00,2016-02-06 08:22:00,2016-02-06 08:54:00
984,2016-02-10 07:20:00,2016-02-10 08:22:00,2016-02-10 08:54:00
993,2016-02-11 07:20:00,2016-02-11 08:22:00,2016-02-11 08:54:00
1002,2016-02-12 07:20:00,2016-02-12 08:22:00,2016-02-12 08:54:00
1011,2016-02-13 07:20:00,2016-02-13 08:22:00,2016-02-13 08:54:00
1020,2016-02-14 07:20:00,2016-02-14 08:22:00,2016-02-14 08:54:00
1029,2016-02-15 07:20:00,2016-02-15 08:22:00,2016-02-15 08:54:00
1038,2016-02-16 07:20:00,2016-02-16 08:22:00,2016-02-16 08:54:00
1047,2016-02-17 07:20:00,2016-02-17 08:22:00,2016-02-17 08:54:00
1056,2016-02-18 07:20:00,2016-02-18 08:22:00,2016-02-18 08:54:00
1065,2016-02-19 07:20:00,2016-02-19 08:23:00,2016-02-19 08:54:00
1074,2016-02-20 07:20:00,2016-02-20 08:22:00,2016-02-20 08:54:00
1083,2016-02-21 07:20:00,2016-02-21 08:22:00,2016-02-21 08:54:00
1092,2016-02-22 07:20:00,2016-02-22 08:22:00,2016-02-22 08:54:00
1101,2016-02-23 07:20:00,2016-02-23 08:22:00,2016-02-23 08:54:00
1110,2016-02-24 07:20:00,2016-02-24 08:22:00,2016-02-24 08:54:00
1119,2016-02-25 07:20:00,2016-02-25 08:22:00,2016-02-25 08:54:00
1128,2016-02-26 07:20:00,2016-02-26 08:22:00,2016-02-26 08:54:00
1137,2016-02-27 07:20:00,2016-02-27 08:22:00,2016-02-27 08:54:00
1146,2016-02-28 07:20:00,2016-02-28 08:22:00,2016-02-28 08:54:00
1155,2016-02-29 07:20:00,2016-02-29 08:22:00,2016-02-29 08:54:00
1164,2016-03-01 07:20:00,2016-03-01 08:22:00,2016-03-01 08:54:00
1173,2016-03-02 07:20:00,2016-03-02 08:22:00,2016-03-02 08:54:00
1182,2016-03-03 07:20:00,2016-03-03 08:22:00,2016-03-03 08:54:00
1191,2016-03-04 07:20:00,2016-03-04 08:22:00,2016-03-04 08:54:00
1200,2016-03-05 07:20:00,2016-03-05 08:16:00,2016-03-05 08:45:00
1209,2016-03-06 07:20:00,2016-03-06 08:22:00,2016-03-06 08:54:00
1218,2016-03-07 07:20:00,2016-03-07 08:22:00,2016-03-07 08:54:00
1227,2016-03-08 07:20:00,2016-03-08 08:22:00,2016-03-08 08:54:00
1236,2016-03-09 07:20:00,2016-03-09 08:22:00,2016-03-09 08:54:00
1245,2016-03-10 07:20:00,2016-03-10 08:12:00,2016-03-10 08:39:00
1256,2016-03-12 07:20:00,2016-03-12 08:22:00,2016-03-12 08:54:00
1265,2016-03-13 07:20:00,2016-03-13 08:22:00,2016-03-13 08:54:00
1273,2016-03-14 05:05:00,2016-03-14 06:02:00,2016-03-14 06:31:00
1282,2016-03-15 05:05:00,2016-03-15 06:07:00,2016-03-15 06:39:00
1291,2016-03-16 05:05:00,2016-03-16 06:07:00,2016-03-16 06:39:00
1300,2016-03-17 05:05:00,2016-03-17 06:07:00,2016-03-17 06:39:00
1309,2016-03-18 05:05:00,2016-03-18 06:07:00,2016-03-18 06:39:00
1318,2016-03-19 05:05:00,2016-03-19 06:07:00,2016-03-19 06:39:00
1327,2016-03-20 05:05:00,2016-03-20 06:07:00,2016-03-20 06:39:00
1336,2016-03-21 05:05:00,2016-03-21 06:07:00,2016-03-21 06:39:00
1345,2016-03-22 05:05:00,2016-03-22 06:07:00,2016-03-22 06:39:00
1354,2016-03-23 05:05:00,2016-03-23 06:07:00,2016-03-23 06:39:00
1363,2016-03-24 05:05:00,2016-03-24 06:07:00,2016-03-24 06:39:00
1372,2016-03-25 05:05:00,2016-03-25 06:07:00,2016-03-25 06:39:00
1380,2016-03-29 05:33:00,2016-03-29 06:35:00,2016-03-29 07:07:00
1389,2016-03-30 05:33:00,2016-03-30 06:35:00,2016-03-30 07:07:00
1398,2016-03-31 05:33:00,2016-03-31 06:35:00,2016-03-31 07:07:00
1407,2016-04-01 05:33:00,2016-04-01 06:35:00,2016-04-01 07:07:00
1416,2016-04-02 05:33:00,2016-04-02 06:35:00,2016-04-02 07:07:00
1425,2016-04-03 05:33:00,2016-04-03 06:35:00,2016-04-03 07:07:00
1434,2016-04-04 05:33:00,2016-04-04 06:35:00,2016-04-04 07:07:00
1443,2016-04-05 05:33:00,2016-04-05 06:35:00,2016-04-05 07:07:00
1452,2016-04-06 05:33:00,2016-04-06 06:35:00,2016-04-06 07:07:00
1461,2016-04-07 05:33:00,2016-04-07 06:35:00,2016-04-07 07:07:00
1470,2016-04-08 05:33:00,2016-04-08 06:35:00,2016-04-08 07:07:00
1479,2016-04-09 05:33:00,2016-04-09 06:35:00,2016-04-09 07:07:00
1488,2016-04-10 05:33:00,2016-04-10 06:35:00,2016-04-10 07:07:00
1497,2016-04-11 05:33:00,2016-04-11 06:35:00,2016-04-11 07:07:00
1506,2016-04-12 05:33:00,2016-04-12 06:35:00,2016-04-12 07:07:00
1515,2016-04-13 05:33:00,2016-04-13 06:35:00,2016-04-13 07:07:00
1524,2016-04-14 05:33:00,2016-04-14 06:35:00,2016-04-14 07:07:00
1533,2016-04-15 05:33:00,2016-04-15 06:35:00,2016-04-15 07:07:00
1542,2016-04-16 05:33:00,2016-04-16 06:35:00,2016-04-16 07:07:00
1551,2016-04-17 05:33:00,2016-04-17 06:35:00,2016-04-17 07:07:00
1560,2016-04-18 05:33:00,2016-04-18 06:35:00,2016-04-18 07:07:00
1569,2016-04-19 05:33:00,2016-04-19 06:35:00,2016-04-19 07:07:00
1578,2016-04-20 05:33:00,2016-04-20 06:35:00,2016-04-20 07:07:00
1587,2016-04-21 05:33:00,2016-04-21 06:35:00,2016-04-21 07:07:00
1600,2016-04-25 05:33:00,2016-04-25 06:35:00,2016-04-25 07:07:00
1609,2016-04-26 05:33:00,2016-04-26 06:35:00,2016-04-26 07:07:00
1618,2016-04-27 05:33:00,2016-04-27 06:35:00,2016-04-27 07:07:00
1627,2016-04-28 05:33:00,2016-04-28 06:35:00,2016-04-28 07:07:00
1636,2016-04-29 05:33:00,2016-04-29 06:35:00,2016-04-29 07:07:00
1645,2016-04-30 05:33:00,2016-04-30 06:35:00,2016-04-30 07:07:00
1654,2016-05-01 05:33:00,2016-05-01 06:35:00,2016-05-01 07:07:00
1663,2016-05-02 05:33:00,2016-05-02 06:35:00,2016-05-02 07:07:00
1672,2016-05-03 05:33:00,2016-05-03 06:35:00,2016-05-03 07:07:00
1681,2016-05-04 05:33:00,2016-05-04 06:35:00,2016-05-04 07:07:00
1690,2016-05-05 05:33:00,2016-05-05 06:35:00,2016-05-05 07:07:00
1699,2016-05-06 05:33:00,2016-05-06 06:35:00,2016-05-06 07:07:00
1708,2016-05-07 05:43:00,2016-05-07 06:47:00,2016-05-07 07:19:00
1717,2016-05-08 05:33:00,2016-05-08 06:35:00,2016-05-08 07:07:00
1726,2016-05-09 05:33:00,2016-05-09 06:35:00,2016-05-09 07:07:00
1735,2016-05-10 05:33:00,2016-05-10 06:35:00,2016-05-10 07:07:00
1744,2016-05-11 05:33:00,2016-05-11 06:35:00,2016-05-11 07:07:00
1753,2016-05-12 05:33:00,2016-05-12 06:35:00,2016-05-12 07:07:00
1762,2016-05-13 05:33:00,2016-05-13 06:35:00,2016-05-13 07:07:00
1771,2016-05-14 05:33:00,2016-05-14 06:35:00,2016-05-14 07:07:00
1780,2016-05-15 05:33:00,2016-05-15 06:35:00,2016-05-15 07:07:00
1789,2016-05-16 05:33:00,2016-05-16 06:35:00,2016-05-16 07:07:00
1798,2016-05-17 05:33:00,2016-05-17 06:35:00,2016-05-17 07:07:00
1807,2016-05-18 05:33:00,2016-05-18 06:35:00,2016-05-18 07:07:00
1816,2016-05-19 05:33:00,2016-05-19 06:35:00,2016-05-19 07:07:00
1825,2016-05-20 05:33:00,2016-05-20 06:35:00,2016-05-20 07:07:00
1834,2016-05-21 05:33:00,2016-05-21 06:35:00,2016-05-21 07:07:00
1843,2016-05-22 05:33:00,2016-05-22 06:35:00,2016-05-22 07:07:00
1852,2016-05-23 05:33:00,2016-05-23 06:35:00,2016-05-23 07:07:00
1861,2016-05-24 05:33:00,2016-05-24 06:35:00,2016-05-24 07:07:00
1870,2016-05-25 05:33:00,2016-05-25 06:35:00,2016-05-25 07:07:00
1879,2016-05-26 05:33:00,2016-05-26 06:35:00,2016-05-26 07:07:00
1888,2016-05-27 05:33:00,2016-05-27 06:35:00,2016-05-27 07:07:00
1897,2016-05-28 05:33:00,2016-05-28 06:35:00,2016-05-28 07:07:00
1906,2016-05-29 05:33:00,2016-05-29 06:35:00,2016-05-29 07:07:00
1915,2016-05-30 05:33:00,2016-05-30 06:35:00,2016-05-30 07:07:00
1924,2016-05-31 05:33:00,2016-05-31 06:35:00,2016-05-31 07:07:00
1933,2016-06-01 05:33:00,2016-06-01 06:35:00,2016-06-01 07:07:00
1942,2016-06-02 05:33:00,2016-06-02 06:35:00,2016-06-02 07:07:00
1951,2016-06-03 05:33:00,2016-06-03 06:35:00,2016-06-03 07:07:00
1960,2016-06-04 05:33:00,2016-06-04 06:35:00,2016-06-04 07:07:00
1969,2016-06-05 05:33:00,2016-06-05 06:35:00,2016-06-05 07:07:00
1978,2016-06-06 05:33:00,2016-06-06 06:35:00,2016-06-06 07:07:00
1987,2016-06-07 05:33:00,2016-06-07 06:35:00,2016-06-07 07:07:00
1996,2016-06-08 05:33:00,2016-06-08 06:35:00,2016-06-08 07:07:00
2005,2016-06-09 05:33:00,2016-06-09 06:35:00,2016-06-09 07:07:00
2014,2016-06-10 05:33:00,2016-06-10 06:35:00,2016-06-10 07:07:00
2023,2016-06-11 05:33:00,2016-06-11 06:35:00,2016-06-11 07:07:00
2032,2016-06-12 05:33:00,2016-06-12 06:35:00,2016-06-12 07:07:00
2041,2016-06-13 05:33:00,2016-06-13 06:35:00,2016-06-13 07:07:00
2050,2016-06-14 05:33:00,2016-06-14 06:35:00,2016-06-14 07:07:00
2059,2016-06-15 05:33:00,2016-06-15 06:35:00,2016-06-15 07:07:00
2068,2016-06-16 05:33:00,2016-06-16 06:35:00,2016-06-16 07:07:00
2077,2016-06-17 05:33:00,2016-06-17 06:35:00,2016-06-17 07:07:00
2086,2016-06-18 05:33:00,2016-06-18 06:35:00,2016-06-18 07:07:00
2095,2016-06-19 05:33:00,2016-06-19 06:35:00,2016-06-19 07:07:00
2104,2016-06-20 05:33:00,2016-06-20 06:35:00,2016-06-20 07:07:00
2113,2016-06-21 05:33:00,2016-06-21 06:35:00,2016-06-21 07:07:00
2122,2016-06-22 05:33:00,2016-06-22 06:35:00,2016-06-22 07:07:00
2131,2016-06-23 05:33:00,2016-06-23 06:35:00,2016-06-23 07:07:00
2140,2016-06-24 05:33:00,2016-06-24 06:36:00,2016-06-24 07:08:00
2149,2016-06-25 05:33:00,2016-06-25 06:35:00,2016-06-25 07:07:00
2158,2016-06-26 05:33:00,2016-06-26 06:35:00,2016-06-26 07:07:00
2167,2016-06-27 05:33:00,2016-06-27 06:35:00,2016-06-27 07:07:00
2176,2016-06-28 05:33:00,2016-06-28 06:35:00,2016-06-28 07:07:00
2185,2016-06-29 05:33:00,2016-06-29 06:35:00,2016-06-29 07:07:00
2194,2016-06-30 05:33:00,2016-06-30 06:35:00,2016-06-30 07:07:00
2203,2016-07-01 05:33:00,2016-07-01 06:35:00,2016-07-01 07:07:00
2212,2016-07-02 05:33:00,2016-07-02 06:35:00,2016-07-02 07:07:00
2221,2016-07-03 05:33:00,2016-07-03 06:35:00,2016-07-03 07:07:00
2230,2016-07-04 05:33:00,2016-07-04 06:35:00,2016-07-04 07:07:00
2239,2016-07-05 05:33:00,2016-07-05 06:36:00,2016-07-05 07:07:00
2248,2016-07-06 05:33:00,2016-07-06 06:36:00,2016-07-06 07:07:00
2260,2016-07-08 05:33:00,2016-07-08 06:35:00,2016-07-08 07:07:00
2269,2016-07-09 05:33:00,2016-07-09 06:35:00,2016-07-09 07:07:00
2280,2016-07-27 05:33:00,2016-07-27 06:35:00,2016-07-27 07:07:00
2289,2016-07-28 05:33:00,2016-07-28 06:35:00,2016-07-28 07:07:00
2298,2016-07-29 07:23:00,2016-07-29 08:25:00,2016-07-29 09:53:00
2307,2016-07-30 07:23:00,2016-07-30 08:25:00,2016-07-30 09:53:00
2316,2016-07-31 07:23:00,2016-07-31 08:25:00,2016-07-31 09:53:00
2325,2016-08-01 07:23:00,2016-08-01 08:25:00,2016-08-01 09:53:00
2334,2016-08-02 07:23:00,2016-08-02 08:25:00,2016-08-02 09:53:00
2343,2016-08-03 07:23:00,2016-08-03 08:25:00,2016-08-03 09:53:00
2352,2016-08-04 07:23:00,2016-08-04 08:25:00,2016-08-04 09:53:00
2361,2016-08-05 07:23:00,2016-08-05 08:25:00,2016-08-05 09:53:00
2370,2016-08-06 07:23:00,2016-08-06 08:25:00,2016-08-06 09:53:00
2384,2016-08-10 07:23:00,2016-08-10 08:25:00,2016-08-10 09:53:00
2393,2016-08-11 07:23:00,2016-08-11 08:25:00,2016-08-11 09:53:00
2402,2016-08-12 07:23:00,2016-08-12 08:25:00,2016-08-12 09:53:00
2406,2016-08-13 07:23:00,2016-08-13 08:25:00,2016-08-13 09:53:00
2415,2016-08-14 07:23:00,2016-08-14 08:25:00,2016-08-14 09:53:00
2424,2016-08-15 07:23:00,2016-08-15 08:25:00,2016-08-15 09:53:00
2433,2016-08-16 07:23:00,2016-08-16 08:25:00,2016-08-16 09:53:00
2442,2016-08-17 07:23:00,2016-08-17 08:25:00,2016-08-17 09:53:00
2451,2016-08-18 07:23:00,2016-08-18 08:25:00,2016-08-18 09:53:00
2460,2016-08-19 07:23:00,2016-08-19 08:25:00,2016-08-19 09:53:00
2469,2016-08-20 07:23:00,2016-08-20 08:25:00,2016-08-20 09:53:00
2478,2016-08-21 07:23:00,2016-08-21 08:25:00,2016-08-21 09:53:00
2487,2016-08-22 07:23:00,2016-08-22 08:25:00,2016-08-22 09:53:00
2496,2016-08-23 07:23:00,2016-08-23 08:25:00,2016-08-23 09:53:00
2505,2016-08-24 07:23:00,2016-08-24 08:25:00,2016-08-24 09:53:00
2514,2016-08-25 07:23:00,2016-08-25 08:25:00,2016-08-25 09:53:00
2523,2016-08-26 07:23:00,2016-08-26 08:28:00,2016-08-26 09:56:00
2532,2016-08-27 07:23:00,2016-08-27 08:28:00,2016-08-27 09:56:00
2541,2016-08-28 07:23:00,2016-08-28 08:28:00,2016-08-28 09:56:00
2550,2016-08-29 07:23:00,2016-08-29 08:28:00,2016-08-29 09:56:00
2559,2016-08-30 07:23:00,2016-08-30 08:28:00,2016-08-30 09:56:00
2568,2016-08-31 07:23:00,2016-08-31 08:28:00,2016-08-31 09:56:00
2577,2016-09-01 07:23:00,2016-09-01 08:28:00,2016-09-01 09:56:00
2586,2016-09-02 07:23:00,2016-09-02 08:28:00,2016-09-02 09:56:00
2595,2016-09-03 07:23:00,2016-09-03 08:28:00,2016-09-03 09:56:00
2604,2016-09-04 07:23:00,2016-09-04 08:28:00,2016-09-04 09:56:00
2613,2016-09-05 07:23:00,2016-09-05 08:28:00,2016-09-05 09:56:00
2622,2016-09-06 07:23:00,2016-09-06 08:28:00,2016-09-06 09:56:00
2630,2016-09-07 07:23:00,2016-09-07 08:28:00,2016-09-07 09:56:00
2639,2016-09-08 07:23:00,2016-09-08 08:28:00,2016-09-08 09:56:00
2648,2016-09-09 07:23:00,2016-09-09 08:28:00,2016-09-09 09:56:00
2655,2016-09-13 07:23:00,2016-09-13 08:28:00,2016-09-13 09:56:00
2664,2016-09-14 07:23:00,2016-09-14 08:28:00,2016-09-14 09:56:00
2673,2016-09-15 07:23:00,2016-09-15 08:28:00,2016-09-15 09:56:00
2682,2016-09-16 07:23:00,2016-09-16 08:28:00,2016-09-16 09:56:00
2691,2016-09-17 07:23:00,2016-09-17 08:28:00,2016-09-17 09:56:00
2700,2016-09-18 07:23:00,2016-09-18 08:28:00,2016-09-18 09:56:00
2709,2016-09-19 07:23:00,2016-09-19 08:28:00,2016-09-19 09:56:00
2718,2016-09-20 07:23:00,2016-09-20 08:28:00,2016-09-20 09:56:00
2727,2016-09-21 07:23:00,2016-09-21 08:28:00,2016-09-21 09:56:00
2736,2016-09-22 07:23:00,2016-09-22 08:28:00,2016-09-22 09:56:00
2745,2016-09-23 07:23:00,2016-09-23 08:28:00,2016-09-23 09:56:00
2754,2016-09-24 07:23:00,2016-09-24 08:28:00,2016-09-24 09:56:00
2763,2016-09-25 07:23:00,2016-09-25 08:28:00,2016-09-25 09:56:00
2772,2016-09-26 07:23:00,2016-09-26 08:28:00,2016-09-26 09:56:00
2781,2016-09-27 07:23:00,2016-09-27 08:28:00,2016-09-27 09:56:00
2790,2016-09-28 07:23:00,2016-09-28 08:28:00,2016-09-28 09:56:00
2799,2016-09-29 07:23:00,2016-09-29 08:28:00,2016-09-29 09:56:00
2808,2016-09-30 07:23:00,2016-09-30 08:28:00,2016-09-30 09:56:00
2817,2016-10-01 07:23:00,2016-10-01 08:28:00,2016-10-01 09:56:00
2826,2016-10-02 07:23:00,2016-10-02 08:28:00,2016-10-02 09:56:00
2835,2016-10-03 07:23:00,2016-10-03 08:28:00,2016-10-03 09:56:00
2844,2016-10-04 07:23:00,2016-10-04 08:28:00,2016-10-04 09:56:00
2853,2016-10-05 07:23:00,2016-10-05 08:21:00,2016-10-05 09:41:00
2862,2016-10-06 07:23:00,2016-10-06 08:28:00,2016-10-06 09:56:00
2871,2016-10-07 07:23:00,2016-10-07 08:28:00,2016-10-07 09:56:00
2880,2016-10-08 07:23:00,2016-10-08 08:28:00,2016-10-08 09:56:00
2889,2016-10-09 07:23:00,2016-10-09 08:28:00,2016-10-09 09:56:00
2898,2016-10-10 07:23:00,2016-10-10 08:28:00,2016-10-10 09:56:00
2907,2016-10-11 07:23:00,2016-10-11 08:28:00,2016-10-11 09:56:00
2916,2016-10-12 07:23:00,2016-10-12 08:28:00,2016-10-12 09:56:00
2925,2016-10-13 07:26:00,2016-10-13 08:28:00,2016-10-13 09:56:00
2934,2016-10-14 07:23:00,2016-10-14 08:20:00,2016-10-14 09:35:00
2943,2016-10-15 07:23:00,2016-10-15 08:28:00,2016-10-15 09:56:00
2952,2016-10-16 07:23:00,2016-10-16 08:26:00,2016-10-16 09:53:00
2961,2016-10-17 07:23:00,2016-10-17 08:22:00,2016-10-17 09:43:00
2970,2016-10-18 07:23:00,2016-10-18 08:28:00,2016-10-18 09:56:00
2979,2016-10-19 07:23:00,2016-10-19 08:24:00,2016-10-19 09:45:00
2988,2016-10-20 07:23:00,2016-10-20 08:28:00,2016-10-20 09:56:00
3000,2016-10-22 07:23:00,2016-10-22 08:28:00,2016-10-22 09:56:00
3009,2016-10-23 07:23:00,2016-10-23 08:28:00,2016-10-23 09:56:00
3018,2016-10-24 07:23:00,2016-10-24 08:25:00,2016-10-24 09:52:00
3027,2016-10-25 07:23:00,2016-10-25 08:24:00,2016-10-25 09:46:00
3036,2016-10-26 07:23:00,2016-10-26 08:28:00,2016-10-26 09:56:00
3045,2016-10-27 07:23:00,2016-10-27 08:28:00,2016-10-27 09:56:00
3054,2016-10-28 07:23:00,2016-10-28 08:28:00,2016-10-28 09:56:00
3063,2016-10-29 07:23:00,2016-10-29 08:28:00,2016-10-29 09:56:00
3072,2016-10-30 07:23:00,2016-10-30 08:28:00,2016-10-30 09:56:00
3081,2016-10-31 07:23:00,2016-10-31 08:28:00,2016-10-31 09:56:00
