profile,start,peak,end
1006,2016-02-12 18:15:00,2016-02-12 19:17:00,2016-02-12 19:49:00
1015,2016-02-13 18:15:00,2016-02-13 19:17:00,2016-02-13 19:49:00
1024,2016-02-14 18:15:00,2016-02-14 19:17:00,2016-02-14 19:49:00
1033,2016-02-15 18:15:00,2016-02-15 19:17:00,2016-02-15 19:49:00
1042,2016-02-16 18:15:00,2016-02-16 19:17:00,2016-02-16 19:49:00
1051,2016-02-17 18:15:00,2016-02-17 19:17:00,2016-02-17 19:49:00
1060,2016-02-18 18:15:00,2016-02-18 19:17:00,2016-02-18 19:49:00
1069,2016-02-19 18:15:00,2016-02-19 19:15:00,2016-02-19 19:46:00
1078,2016-02-20 18:15:00,2016-02-20 19:17:00,2016-02-20 19:49:00
1087,2016-02-21 18:15:00,2016-02-21 19:17:00,2016-02-21 19:49:00
1096,2016-02-22 18:15:00,2016-02-22 19:17:00,2016-02-22 19:49:00
1105,2016-02-23 18:15:00,2016-02-23 19:17:00,2016-02-23 19:49:00
1114,2016-02-24 18:15:00,2016-02-24 19:17:00,2016-02-24 19:49:00
1123,2016-02-25 18:15:00,2016-02-25 19:17:00,2016-02-25 19:49:00
1132,2016-02-26 18:15:00,2016-02-26 19:17:00,2016-02-26 19:49:00
1141,2016-02-27 18:15:00,2016-02-27 19:17:00,2016-02-27 19:49:00
1150,2016-02-28 18:15:00,2016-02-28 19:17:00,2016-02-28 19:49:00
1159,2016-02-29 18:15:00,2016-02-29 19:17:00,2016-02-29 19:49:00
1168,2016-03-01 18:15:00,2016-03-01 19:17:00,2016-03-01 19:49:00
1177,2016-03-02 18:15:00,2016-03-02 19:17:00,2016-03-02 19:49:00
1186,2016-03-03 18:15:00,2016-03-03 19:17:00,2016-03-03 19:49:00
1195,2016-03-04 18:15:00,2016-03-04 19:16:00,2016-03-04 19:47:00
1204,2016-03-05 18:15:00,2016-03-05 19:17:00,2016-03-05 19:49:00
1213,2016-03-06 18:15:00,2016-03-06 19:15:00,2016-03-06 19:46:00
1222,2016-03-07 18:15:00,2016-03-07 19:17:00,2016-03-07 19:49:00
1231,2016-03-08 18:15:00,2016-03-08 19:17:00,2016-03-08 19:49:00
1240,2016-03-09 18:15:00,2016-03-09 19:17:00,2016-03-09 19:49:00
1249,2016-03-10 18:15:00,2016-03-10 19:11:00,2016-03-10 19:40:00
1251,2016-03-11 18:15:00,2016-03-11 19:17:00,2016-03-11 19:49:00
1260,2016-03-12 18:15:00,2016-03-12 19:17:00,2016-03-12 19:49:00
1269,2016-03-13 18:15:00,2016-03-13 19:09:00,2016-03-13 19:36:00
1278,2016-03-14 18:15:00,2016-03-14 19:17:00,2016-03-14 19:49:00
1287,2016-03-15 18:15:00,2016-03-15 19:17:00,2016-03-15 19:49:00
1296,2016-03-16 18:15:00,2016-03-16 19:17:00,2016-03-16 19:49:00
1305,2016-03-17 18:15:00,2016-03-17 19:17:00,2016-03-17 19:49:00
1314,2016-03-18 18:15:00,2016-03-18 19:17:00,2016-03-18 19:49:00
1323,2016-03-19 18:15:00,2016-03-19 19:17:00,2016-03-19 19:49:00
1332,2016-03-20 18:15:00,2016-03-20 19:17:00,2016-03-20 19:49:00
1341,2016-03-21 18:15:00,2016-03-21 19:17:00,2016-03-21 19:49:00
1350,2016-03-22 18:15:00,2016-03-22 19:17:00,2016-03-22 19:49:00
1359,2016-03-23 18:15:00,2016-03-23 19:17:00,2016-03-23 19:49:00
1368,2016-03-24 18:15:00,2016-03-24 19:17:00,2016-03-24 19:49:00
1376,2016-03-28 18:43:00,2016-03-28 19:45:00,2016-03-28 20:17:00
1385,2016-03-29 18:43:00,2016-03-29 19:45:00,2016-03-29 20:17:00
1394,2016-03-30 18:43:00,2016-03-30 19:45:00,2016-03-30 20:17:00
1403,2016-03-31 18:43:00,2016-03-31 19:45:00,2016-03-31 20:17:00
1412,2016-04-01 18:43:00,2016-04-01 19:45:00,2016-04-01 20:17:00
1421,2016-04-02 18:43:00,2016-04-02 19:45:00,2016-04-02 20:17:00
1430,2016-04-03 18:43:00,2016-04-03 19:45:00,2016-04-03 20:17:00
1439,2016-04-04 18:43:00,2016-04-04 19:45:00,2016-04-04 20:17:00
1448,2016-04-05 18:43:00,2016-04-05 19:45:00,2016-04-05 20:17:00
1457,2016-04-06 18:43:00,2016-04-06 19:45:00,2016-04-06 20:17:00
1466,2016-04-07 18:43:00,2016-04-07 19:45:00,2016-04-07 20:17:00
1475,2016-04-08 18:43:00,2016-04-08 19:45:00,2016-04-08 20:17:00
1484,2016-04-09 18:43:00,2016-04-09 19:45:00,2016-04-09 20:17:00
1493,2016-04-10 18:43:00,2016-04-10 19:45:00,2016-04-10 20:17:00
1502,2016-04-11 18:43:00,2016-04-11 19:45:00,2016-04-11 20:17:00
1511,2016-04-12 18:43:00,2016-04-12 19:45:00,2016-04-12 20:17:00
1520,2016-04-13 18:43:00,2016-04-13 19:45:00,2016-04-13 20:17:00
1529,2016-04-14 18:43:00,2016-04-14 19:43:00,2016-04-14 20:14:00
1538,2016-04-15 18:43:00,2016-04-15 19:45:00,2016-04-15 20:17:00
1547,2016-04-16 18:43:00,2016-04-16 19:45:00,2016-04-16 20:17:00
1556,2016-04-17 18:43:00,2016-04-17 19:45:00,2016-04-17 20:17:00
1565,2016-04-18 18:43:00,2016-04-18 19:45:00,2016-04-18 20:17:00
1574,2016-04-19 18:43:00,2016-04-19 19:45:00,2016-04-19 20:17:00
1583,2016-04-20 18:43:00,2016-04-20 19:45:00,2016-04-20 20:17:00
1592,2016-04-21 18:43:00,2016-04-21 19:45:00,2016-04-21 20:17:00
1595,2016-04-22 18:43:00,2016-04-22 19:45:00,2016-04-22 20:17:00
1605,2016-04-25 18:43:00,2016-04-25 19:45:00,2016-04-25 20:17:00
1614,2016-04-26 18:43:00,2016-04-26 19:45:00,2016-04-26 20:17:00
1623,2016-04-27 18:43:00,2016-04-27 19:45:00,2016-04-27 20:17:00
1632,2016-04-28 18:43:00,2016-04-28 19:45:00,2016-04-28 20:17:00
1641,2016-04-29 18:43:00,2016-04-29 19:45:00,2016-04-29 20:17:00
1650,2016-04-30 18:43:00,2016-04-30 19:45:00,2016-04-30 20:17:00
1659,2016-05-01 18:43:00,2016-05-01 19:45:00,2016-05-01 20:17:00
1668,2016-05-02 18:43:00,2016-05-02 19:45:00,2016-05-02 20:17:00
1677,2016-05-03 18:43:00,2016-05-03 19:45:00,2016-05-03 20:17:00
1686,2016-05-04 18:43:00,2016-05-04 19:45:00,2016-05-04 20:17:00
1695,2016-05-05 18:43:00,2016-05-05 19:45:00,2016-05-05 20:17:00
1704,2016-05-06 18:43:00,2016-05-06 19:45:00,2016-05-06 20:17:00
1713,2016-05-07 18:43:00,2016-05-07 19:45:00,2016-05-07 20:17:00
1722,2016-05-08 18:43:00,2016-05-08 19:45:00,2016-05-08 20:17:00
1731,2016-05-09 18:43:00,2016-05-09 19:45:00,2016-05-09 20:17:00
1740,2016-05-10 18:43:00,2016-05-10 19:45:00,2016-05-10 20:17:00
1749,2016-05-11 18:43:00,2016-05-11 19:45:00,2016-05-11 20:17:00
1758,2016-05-12 18:43:00,2016-05-12 19:45:00,2016-05-12 20:17:00
1767,2016-05-13 18:43:00,2016-05-13 19:45:00,2016-05-13 20:17:00
1776,2016-05-14 18:43:00,2016-05-14 19:45:00,2016-05-14 20:17:00
1785,2016-05-15 18:43:00,2016-05-15 19:45:00,2016-05-15 20:17:00
1794,2016-05-16 18:43:00,2016-05-16 19:45:00,2016-05-16 20:17:00
1803,2016-05-17 18:43:00,2016-05-17 19:45:00,2016-05-17 20:17:00
1812,2016-05-18 18:43:00,2016-05-18 19:45:00,2016-05-18 20:17:00
1821,2016-05-19 18:43:00,2016-05-19 19:45:00,2016-05-19 20:17:00
1830,2016-05-20 18:43:00,2016-05-20 19:45:00,2016-05-20 20:17:00
1839,2016-05-21 18:43:00,2016-05-21 19:45:00,2016-05-21 20:17:00
1848,2016-05-22 18:43:00,2016-05-22 19:45:00,2016-05-22 20:17:00
1857,2016-05-23 18:43:00,2016-05-23 19:45:00,2016-05-23 20:17:00
1866,2016-05-24 18:43:00,2016-05-24 19:45:00,2016-05-24 20:17:00
1875,2016-05-25 18:43:00,2016-05-25 19:45:00,2016-05-25 20:17:00
1884,2016-05-26 18:43:00,2016-05-26 19:45:00,2016-05-26 20:17:00
1893,2016-05-27 18:43:00,2016-05-27 19:45:00,2016-05-27 20:17:00
1902,2016-05-28 18:43:00,2016-05-28 19:45:00,2016-05-28 20:17:00
1911,2016-05-29 18:43:00,2016-05-29 19:45:00,2016-05-29 20:17:00
1920,2016-05-30 18:43:00,2016-05-30 19:45:00,2016-05-30 20:17:00
1929,2016-05-31 18:43:00,2016-05-31 19:45:00,2016-05-31 20:17:00
1938,2016-06-01 18:43:00,2016-06-01 19:45:00,2016-06-01 20:18:00
1947,2016-06-02 18:43:00,2016-06-02 19:45:00,2016-06-02 20:17:00
1956,2016-06-03 18:43:00,2016-06-03 19:45:00,2016-06-03 20:17:00
1965,2016-06-04 18:43:00,2016-06-04 19:45:00,2016-06-04 20:17:00
1974,2016-06-05 18:43:00,2016-06-05 19:45:00,2016-06-05 20:17:00
1983,2016-06-06 18:43:00,2016-06-06 19:45:00,2016-06-06 20:17:00
1992,2016-06-07 18:43:00,2016-06-07 19:45:00,2016-06-07 20:17:00
2001,2016-06-08 18:43:00,2016-06-08 19:45:00,2016-06-08 20:17:00
2010,2016-06-09 18:43:00,2016-06-09 19:45:00,2016-06-09 20:17:00
2019,2016-06-10 18:43:00,2016-06-10 19:45:00,2016-06-10 20:17:00
2028,2016-06-11 18:43:00,2016-06-11 19:45:00,2016-06-11 20:17:00
2037,2016-06-12 18:43:00,2016-06-12 19:45:00,2016-06-12 20:17:00
2046,2016-06-13 18:43:00,2016-06-13 19:45:00,2016-06-13 20:17:00
2055,2016-06-14 18:43:00,2016-06-14 19:45:00,2016-06-14 20:17:00
2064,2016-06-15 18:43:00,2016-06-15 19:45:00,2016-06-15 20:17:00
2073,2016-06-16 18:43:00,2016-06-16 19:45:00,2016-06-16 20:17:00
2082,2016-06-17 18:43:00,2016-06-17 19:45:00,2016-06-17 20:17:00
2091,2016-06-18 18:43:00,2016-06-18 19:45:00,2016-06-18 20:17:00
2100,2016-06-19 18:43:00,2016-06-19 19:45:00,2016-06-19 20:17:00
2109,2016-06-20 18:43:00,2016-06-20 19:45:00,2016-06-20 20:17:00
2118,2016-06-21 18:43:00,2016-06-21 19:45:00,2016-06-21 20:17:00
2127,2016-06-22 18:43:00,2016-06-22 19:45:00,2016-06-22 20:17:00
2136,2016-06-23 18:43:00,2016-06-23 19:45:00,2016-06-23 20:17:00
2145,2016-06-24 18:43:00,2016-06-24 19:45:00,2016-06-24 20:17:00
2154,2016-06-25 18:43:00,2016-06-25 19:45:00,2016-06-25 20:17:00
2163,2016-06-26 18:43:00,2016-06-26 19:45:00,2016-06-26 20:17:00
2172,2016-06-27 18:43:00,2016-06-27 19:45:00,2016-06-27 20:17:00
2181,2016-06-28 18:43:00,2016-06-28 19:45:00,2016-06-28 20:17:00
2190,2016-06-29 18:43:00,2016-06-29 19:45:00,2016-06-29 20:17:00
2199,2016-06-30 18:43:00,2016-06-30 19:45:00,2016-06-30 20:17:00
2208,2016-07-01 18:43:00,2016-07-01 19:45:00,2016-07-01 20:17:00
2217,2016-07-02 18:43:00,2016-07-02 19:45:00,2016-07-02 20:17:00
2226,2016-07-03 18:43:00,2016-07-03 19:45:00,2016-07-03 20:17:00
2235,2016-07-04 18:43:00,2016-07-04 19:45:00,2016-07-04 20:17:00
2244,2016-07-05 18:43:00,2016-07-05 19:46:00,2016-07-05 20:17:00
2253,2016-07-06 18:43:00,2016-07-06 19:46:00,2016-07-06 20:17:00
2256,2016-07-07 18:42:00,2016-07-07 19:46:00,2016-07-07 20:18:00
2265,2016-07-08 18:43:00,2016-07-08 19:45:00,2016-07-08 20:17:00
2273,2016-07-18 18:01:00,2016-07-18 18:11:00,2016-07-18 18:18:00
2277,2016-07-26 18:29:00,2016-07-26 19:33:00,2016-07-26 20:49:00
2285,2016-07-27 18:43:00,2016-07-27 19:45:00,2016-07-27 20:17:00
2302,2016-07-29 18:13:00,2016-07-29 19:15:00,2016-07-29 19:47:00
2311,2016-07-30 18:13:00,2016-07-30 19:15:00,2016-07-30 19:46:00
2320,2016-07-31 18:13:00,2016-07-31 19:15:00,2016-07-31 19:47:00
2329,2016-08-01 18:13:00,2016-08-01 19:15:00,2016-08-01 19:47:00
2338,2016-08-02 18:13:00,2016-08-02 19:15:00,2016-08-02 19:47:00
2347,2016-08-03 18:13:00,2016-08-03 19:15:00,2016-08-03 19:47:00
2356,2016-08-04 18:13:00,2016-08-04 19:15:00,2016-08-04 19:47:00
2365,2016-08-05 18:13:00,2016-08-05 19:15:00,2016-08-05 19:47:00
2374,2016-08-06 18:13:00,2016-08-06 19:15:00,2016-08-06 19:47:00
2379,2016-08-09 18:12:00,2016-08-09 19:15:00,2016-08-09 19:47:00
2388,2016-08-10 18:13:00,2016-08-10 19:15:00,2016-08-10 19:47:00
2397,2016-08-11 18:13:00,2016-08-11 19:15:00,2016-08-11 19:47:00
2410,2016-08-13 18:13:00,2016-08-13 19:15:00,2016-08-13 19:47:00
2419,2016-08-14 18:13:00,2016-08-14 19:15:00,2016-08-14 19:47:00
2428,2016-08-15 18:13:00,2016-08-15 19:15:00,2016-08-15 19:47:00
2437,2016-08-16 18:13:00,2016-08-16 19:15:00,2016-08-16 19:47:00
2446,2016-08-17 18:13:00,2016-08-17 19:15:00,2016-08-17 19:47:00
2455,2016-08-18 18:13:00,2016-08-18 19:15:00,2016-08-18 19:47:00
2464,2016-08-19 18:13:00,2016-08-19 19:15:00,2016-08-19 19:47:00
2473,2016-08-20 18:13:00,2016-08-20 19:15:00,2016-08-20 19:47:00
2482,2016-08-21 18:13:00,2016-08-21 19:15:00,2016-08-21 19:47:00
2491,2016-08-22 18:13:00,2016-08-22 19:15:00,2016-08-22 19:47:00
2500,2016-08-23 18:13:00,2016-08-23 19:15:00,2016-08-23 19:47:00
2509,2016-08-24 18:13:00,2016-08-24 19:15:00,2016-08-24 19:47:00
2518,2016-08-25 18:13:00,2016-08-25 19:18:00,2016-08-25 19:51:00
2527,2016-08-26 18:13:00,2016-08-26 19:18:00,2016-08-26 19:51:00
2536,2016-08-27 18:13:00,2016-08-27 19:18:00,2016-08-27 19:51:00
2545,2016-08-28 18:13:00,2016-08-28 19:18:00,2016-08-28 19:51:00
2554,2016-08-29 18:13:00,2016-08-29 19:18:00,2016-08-29 19:51:00
2563,2016-08-30 18:13:00,2016-08-30 19:18:00,2016-08-30 19:51:00
2572,2016-08-31 18:13:00,2016-08-31 19:18:00,2016-08-31 19:51:00
2581,2016-09-01 18:13:00,2016-09-01 19:18:00,2016-09-01 19:51:00
2590,2016-09-02 18:13:00,2016-09-02 19:18:00,2016-09-02 19:51:00
2599,2016-09-03 18:13:00,2016-09-03 19:18:00,2016-09-03 19:51:00
2608,2016-09-04 18:13:00,2016-09-04 19:18:00,2016-09-04 19:51:00
2617,2016-09-05 18:13:00,2016-09-05 19:18:00,2016-09-05 19:51:00
2626,2016-09-06 18:13:00,2016-09-06 19:18:00,2016-09-06 19:51:00
2634,2016-09-07 18:13:00,2016-09-07 19:18:00,2016-09-07 19:51:00
2643,2016-09-08 18:13:00,2016-09-08 19:18:00,2016-09-08 19:51:00
2659,2016-09-13 18:13:00,2016-09-13 19:18:00,2016-09-13 19:51:00
2668,2016-09-14 18:13:00,2016-09-14 19:18:00,2016-09-14 19:51:00
2677,2016-09-15 18:13:00,2016-09-15 19:18:00,2016-09-15 19:51:00
2686,2016-09-16 18:13:00,2016-09-16 19:18:00,2016-09-16 19:51:00
2695,2016-09-17 18:13:00,2016-09-17 19:18:00,2016-09-17 19:51:00
2704,2016-09-18 18:13:00,2016-09-18 19:18:00,2016-09-18 19:51:00
2713,2016-09-19 18:13:00,2016-09-19 19:18:00,2016-09-19 19:51:00
2722,2016-09-20 18:13:00,2016-09-20 19:18:00,2016-09-20 19:51:00
2731,2016-09-21 18:13:00,2016-09-21 19:18:00,2016-09-21 19:51:00
2740,2016-09-22 18:13:00,2016-09-22 19:18:00,2016-09-22 19:51:00
2749,2016-09-23 18:13:00,2016-09-23 19:17:00,2016-09-23 19:50:00
2758,2016-09-24 18:13:00,2016-09-24 19:18:00,2016-09-24 19:51:00
2767,2016-09-25 18:13:00,2016-09-25 19:18:00,2016-09-25 19:51:00
2776,2016-09-26 18:13:00,2016-09-26 19:18:00,2016-09-26 19:51:00
2785,2016-09-27 18:13:00,2016-09-27 19:18:00,2016-09-27 19:51:00
2794,2016-09-28 18:13:00,2016-09-28 19:18:00,2016-09-28 19:51:00
2803,2016-09-29 18:13:00,2016-09-29 19:18:00,2016-09-29 19:51:00
2812,2016-09-30 18:13:00,2016-09-30 19:18:00,2016-09-30 19:51:00
2821,2016-10-01 18:13:00,2016-10-01 19:18:00,2016-10-01 19:51:00
2830,2016-10-02 18:13:00,2016-10-02 19:18:00,2016-10-02 19:51:00
2839,2016-10-03 18:13:00,2016-10-03 19:18:00,2016-10-03 19:51:00
2848,2016-10-04 18:13:00,2016-10-04 19:18:00,2016-10-04 19:51:00
2857,2016-10-05 18:13:00,2016-10-05 19:17:00,2016-10-05 19:49:00
2866,2016-10-06 18:13:00,2016-10-06 19:18:00,2016-10-06 19:51:00
2875,2016-10-07 18:13:00,2016-10-07 19:18:00,2016-10-07 19:51:00
2884,2016-10-08 18:13:00,2016-10-08 19:18:00,2016-10-08 19:51:00
2893,2016-10-09 18:13:00,2016-10-09 19:18:00,2016-10-09 19:51:00
2902,2016-10-10 18:13:00,2016-10-10 19:18:00,2016-10-10 19:51:00
2911,2016-10-11 18:13:00,2016-10-11 19:18:00,2016-10-11 19:51:00
2920,2016-10-12 18:13:00,2016-10-12 19:18:00,2016-10-12 19:51:00
2929,2016-10-13 18:13:00,2016-10-13 19:14:00,2016-10-13 19:45:00
2938,2016-10-14 18:13:00,2016-10-14 19:10:00,2016-10-14 19:39:00
2947,2016-10-15 18:13:00,2016-10-15 19:13:00,2016-10-15 19:44:00
2956,2016-10-16 18:13:00,2016-10-16 19:16:00,2016-10-16 19:47:00
